rank,bigram,count,share_of_all_bigrams,movement_class,row_change,from_hand,from_finger,from_row,to_hand,to_finger,to_row
214,gu,2418410978,0.0008576950869440064,alternate_hands,True,L,index,home,R,index,top
215,dr,2409399231,0.0008544990498779348,same_hand_different_fingers,True,L,middle,home,L,index,top
216,hr,2379584978,0.0008439253556003175,alternate_hands,True,R,index,home,L,index,top
217,cc,2344219345,0.0008313828514739717,same_key,False,L,middle,bottom,L,middle,bottom
218,tw,2322619238,0.0008237223232097947,same_hand_different_fingers,False,L,index,top,L,ring,top
219,ft,2302659749,0.000816643643941075,same_finger_different_key,True,L,index,home,L,index,top
220,wn,2227183930,0.0007898759689146779,alternate_hands,True,L,ring,top,R,index,bottom
221,nu,2217508482,0.0007864445487428901,same_finger_different_key,True,R,index,bottom,R,index,top
222,af,2092395523,0.000742072946387665,same_hand_different_fingers,False,L,pinky,home,L,index,home
223,hu,2077887429,0.0007369276170545124,same_finger_different_key,True,R,index,home,R,index,top
224,nn,2051719074,0.0007276469489955757,same_key,False,R,index,bottom,R,index,bottom
225,eo,2044268477,0.0007250045774136436,alternate_hands,False,L,middle,top,R,ring,top
226,vo,2004982879,0.0007110718485686386,alternate_hands,True,L,index,bottom,R,ring,top
227,rv,1953555667,0.000692833068035106,same_finger_different_key,True,L,index,top,L,index,bottom
228,nf,1894270041,0.0006718072826705972,alternate_hands,True,R,index,bottom,L,index,home
229,xp,1885334638,0.000668638321181966,alternate_hands,True,L,ring,bottom,R,pinky,top
230,gn,1850801359,0.0006563910133406573,alternate_hands,True,L,index,home,R,index,bottom
231,sm,1838392669,0.0006519902425265863,alternate_hands,True,L,ring,home,R,index,bottom
232,fl,1830098844,0.0006490488181701867,alternate_hands,False,L,index,home,R,ring,home
233,iz,1814164135,0.0006433975365040388,alternate_hands,True,R,middle,top,L,pinky,bottom
234,ok,1813376076,0.0006431180495439353,same_hand_different_fingers,True,R,ring,top,R,middle,home
235,nl,1798491132,0.000637839069480425,same_hand_different_fingers,True,R,index,bottom,R,ring,home
236,my,1753447198,0.0006218641333591955,same_finger_different_key,True,R,index,bottom,R,index,top
237,gl,1709752272,0.0006063676260676287,alternate_hands,False,L,index,home,R,ring,home
238,aw,1689436638,0.0005991626391450328,same_hand_different_fingers,True,L,pinky,home,L,ring,top
239,ju,1655210582,0.0005870242886563383,same_finger_different_key,True,R,index,home,R,index,top
240,oa,1620913259,0.00057486066316008,alternate_hands,True,R,ring,top,L,pinky,home
241,eq,1614312175,0.0005725195733425061,same_hand_different_fingers,False,L,middle,top,L,pinky,top
242,sy,1602829285,0.000568447139655051,alternate_hands,True,L,ring,home,R,index,top
243,sl,1575646777,0.0005588067998722335,alternate_hands,False,L,ring,home,R,ring,home
244,ps,1538723474,0.0005457118644518548,alternate_hands,True,R,pinky,top,L,ring,home
245,jo,1516687319,0.0005378966907487205,same_hand_different_fingers,True,R,index,home,R,ring,top
246,lf,1507867867,0.0005347688515523429,alternate_hands,False,R,ring,home,L,index,home
247,nv,1466426243,0.0005200714830640574,alternate_hands,False,R,index,bottom,L,index,bottom
248,je,1463052212,0.0005188748751102307,alternate_hands,True,R,index,home,L,middle,top
249,nk,1455100124,0.0005160546485769444,same_hand_different_fingers,True,R,index,bottom,R,middle,home
250,kn,1450401608,0.0005143883089325302,same_hand_different_fingers,True,R,middle,home,R,index,bottom
251,gs,1443474876,0.0005119317272931717,same_hand_different_fingers,False,L,index,home,L,ring,home
252,dy,1421751251,0.0005042273930825643,alternate_hands,True,L,middle,home,R,index,top
253,hy,1412343465,0.000500890899862585,same_finger_different_key,True,R,index,home,R,index,top
254,ze,1402290616,0.0004973256335470059,same_hand_different_fingers,True,L,pinky,bottom,L,middle,top
255,ks,1339590722,0.0004750889700828898,alternate_hands,False,R,middle,home,L,ring,home
256,xt,1315669490,0.0004666052494304905,same_hand_different_fingers,True,L,ring,bottom,L,index,top
257,bs,1292319275,0.00045832404128730357,same_hand_different_fingers,True,L,index,bottom,L,ring,home
258,ik,1209994695,0.0004291274372183285,same_finger_different_key,True,R,middle,top,R,middle,home
259,dd,1205446875,0.00042751454226135495,same_key,False,L,middle,home,L,middle,home
