ngram,rank_books,share_books,rank_web,share_web,rank_subtlex,share_subtlex,rank_spread,stability_class,missing_from,gesture_tags
zfa,8518,0.00000005,10616,0.00000060,,0.00000000,,below-cut,"books,web,subtlex",
uyr,,0.00000000,8518,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
akv,8519,0.00000005,9081,0.00000112,,0.00000000,,below-cut,"books,web,subtlex",
ovc,,0.00000000,8519,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",
ezp,,0.00000000,8520,0.00000146,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
trb,,0.00000000,8521,0.00000146,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,same_finger_chain"
gtt,8523,0.00000005,9489,0.00000095,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
drf,,0.00000000,8523,0.00000145,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
vpe,8525,0.00000005,9487,0.00000095,,0.00000000,,below-cut,"books,web,subtlex",
ezd,8526,0.00000005,8720,0.00000132,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
oiw,,0.00000000,8526,0.00000145,,0.00000000,,below-cut,"books,web,subtlex",
aqq,8527,0.00000005,13688,0.00000016,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
dfc,8566,0.00000005,8527,0.00000145,,0.00000000,,below-cut,"books,web,subtlex",
qar,8528,0.00000005,8926,0.00000120,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
qqa,8529,0.00000005,14491,0.00000011,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
noq,,0.00000000,8529,0.00000145,,0.00000000,,below-cut,"books,web,subtlex",
zdo,8531,0.00000005,9908,0.00000079,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
bkh,8532,0.00000005,12646,0.00000025,,0.00000000,,below-cut,"books,web,subtlex",
euo,8533,0.00000005,8789,0.00000128,,0.00000000,,below-cut,"books,web,subtlex",
jhs,8534,0.00000005,12823,0.00000024,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
xyy,8536,0.00000005,13398,0.00000018,,0.00000000,,below-cut,"books,web,subtlex",
emj,,0.00000000,8536,0.00000145,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
tbm,8537,0.00000005,11131,0.00000049,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
hpg,,0.00000000,8538,0.00000145,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
wcs,8539,0.00000005,9199,0.00000107,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
hcm,8541,0.00000005,9273,0.00000104,,0.00000000,,below-cut,"books,web,subtlex",
nwp,8543,0.00000005,10927,0.00000053,,0.00000000,,below-cut,"books,web,subtlex",
ifg,,0.00000000,8543,0.00000144,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
yiv,8644,0.00000005,8545,0.00000144,,0.00000000,,below-cut,"books,web,subtlex",
woz,8546,0.00000005,12438,0.00000028,,0.00000000,,below-cut,"books,web,subtlex",
jdr,8547,0.00000005,11714,0.00000038,,0.00000000,,below-cut,"books,web,subtlex",
dvm,8548,0.00000005,9841,0.00000082,,0.00000000,,below-cut,"books,web,subtlex",
fvc,8549,0.00000005,13425,0.00000018,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
wrt,,0.00000000,8549,0.00000144,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
luq,8550,0.00000005,14666,0.00000010,,0.00000000,,below-cut,"books,web,subtlex",
qid,8551,0.00000005,10573,0.00000061,,0.00000000,,below-cut,"books,web,subtlex",
