rank,bigram,count,share,movement_class,from_hand,from_finger,from_home_key,from_home_reach,to_hand,to_finger,to_home_key,to_home_reach,combined_home_reach,max_home_reach,same_finger_travel,row_change,row_span,roll_direction,outer_finger_involved,pinky_involved,top_words
283,ja,729206855,0.00025861490978535843,alternate_hands,R,index,j,0.0,L,pinky,a,0.0,0.0,0.0,,False,0.0,cross_hand,True,True,"james, january, japanese, japan, jack, jackson, adjacent, jane, benjamin, jacob, jail, jan"
284,hn,726288117,0.0002575797725545694,same_finger_different_key,R,index,j,1.0,R,index,j,1.118,2.118,1.118,1.118,True,1.0,same_finger,False,False,"john, technology, technical, techniques, technique, johnson, ethnic, technological, technologies, johnny, johnston, johns"
285,yp,702499946,0.0002491432422957806,same_hand_different_fingers,R,index,j,1.6008,R,pinky,;,1.0308,2.6316,1.6008,,False,0.0,outward,True,True,"type, types, typical, egypt, hypothesis, typically, egyptian, hypotheses, hypertension, hypothetical, prototype, egyptians"
286,za,702199296,0.00024903661607292787,same_finger_different_key,L,pinky,a,1.118,L,pinky,a,0.0,1.118,1.118,1.118,True,1.0,same_finger,True,True,"organization, organizations, elizabeth, civilization, organizational, realization, utilization, hazard, characterization, hazardous, reorganization, hazards"
287,gg,697999944,0.00024754730610389725,same_key,L,index,f,1.0,L,index,f,1.0,2.0,1.0,,False,0.0,same_finger,False,False,"suggested, suggest, struggle, suggests, eggs, suggestion, suggestions, egg, aggressive, aggregate, suggesting, aggression"
288,ym,667551857,0.00023674882112168774,same_finger_different_key,R,index,j,1.6008,R,index,j,1.118,2.7188,1.6008,2.6575,True,2.0,same_finger,False,False,"employment, symptoms, payment, payments, symbol, sympathy, symbols, unemployment, symbolic, enzyme, sympathetic, enjoyment"
289,sw,663415953,0.00023528201313365683,same_finger_different_key,L,ring,s,0.0,L,ring,s,1.0308,1.0308,1.0308,1.0308,True,1.0,same_finger,True,False,"answer, answered, sweet, answers, sword, switch, sweden, swept, swift, switzerland, swimming, swedish"
290,bj,654853039,0.00023224515573657463,alternate_hands,L,index,f,1.8028,R,index,j,0.0,1.8028,1.8028,,True,1.0,cross_hand,False,False,"subject, object, subjects, objects, objective, objectives, subjected, objection, subjective, objections, objected, objectivity"
291,lm,649112313,0.00023020919388787198,same_hand_different_fingers,R,ring,l,0.0,R,index,j,1.118,1.118,1.118,,True,1.0,inward,True,False,"almost, film, films, calm, realm, pulmonary, palm, overwhelming, salmon, holmes, palmer, fulfillment"
292,cs,643530723,0.00022822966999227055,same_hand_different_fingers,L,middle,d,1.118,L,ring,s,0.0,1.118,1.118,,True,1.0,outward,True,False,"politics, characteristics, statistics, economics, critics, ethics, physics, mathematics, topics, dynamics, catholics, mechanics"
