rank,ngram,count,share,cumulative_share
363,cq,154363546,5.4745391172903915e-05,0.9969837452284717
364,dh,153344431,5.438395966416432e-05,0.9970381291881358
365,sd,148275222,5.258615288378493e-05,0.9970907153410197
366,vy,138085211,4.897224174539224e-05,0.997139687582765
367,dj,134832736,4.781874391012554e-05,0.9971875063266752
368,hw,134615178,4.774158645863246e-05,0.9972352479131338
369,xu,134528161,4.771072567687967e-05,0.9972829586388107
370,ao,130442323,4.62616737123756e-05,0.997329220312523
371,ml,129888836,4.60653782584987e-05,0.9973752856907815
372,uk,129819900,4.6040929945514914e-05,0.997421326620727
373,uy,128782521,4.567302106663002e-05,0.9974669996417936
374,ej,128194584,4.546450784000317e-05,0.9975124641496337
375,ez,127540198,4.523242832073589e-05,0.9975576965779545
376,hb,123778334,4.389827449001692e-05,0.9976015948524445
377,nz,123192934,4.36906610163499e-05,0.9976452855134608
378,nb,122258836,4.335938098470417e-05,0.9976886448944455
379,mc,121591374,4.312266403157685e-05,0.997731767558477
380,yb,121220723,4.2991211791009456e-05,0.9977747587702681
381,tp,121089391,4.294463459127656e-05,0.9978177034048593
382,xh,117618666,4.17137338851048e-05,0.9978594171387445
383,ux,110947766,3.934788366049721e-05,0.9978987650224049
384,tz,108527540,3.8489544871772874e-05,0.9979372545672768
385,bv,108385069,3.843901719974211e-05,0.9979756935844765
386,mf,107664447,3.818344692878059e-05,0.9980138770314052
387,wd,99767462,3.538276280280467e-05,0.9980492597942081
388,oz,97904996,3.472223489736102e-05,0.9980839820291054
389,yw,95070267,3.371689165411773e-05,0.9981176989207595
390,kh,89811517,3.18518637165598e-05,0.9981495507844761
391,gd,89087728,3.159517026167088e-05,0.9981811459547377
392,bm,88228719,3.1290520718792114e-05,0.9982124364754565
393,mr,87580303,3.106055847393173e-05,0.9982434970339304
394,ku,85313841,3.0256752445994783e-05,0.9982737537863765
395,uv,82252351,2.9170987885870377e-05,0.9983029247742624
396,dt,81648332,2.895677114048111e-05,0.9983318815454029
397,hd,80544316,2.8565229294317865e-05,0.9983604467746972
398,aa,79794787,2.8299407088468595e-05,0.9983887461817856
399,xx,79068246,2.8041737630368995e-05,0.998416787919416
400,df,78347492,2.778612054529999e-05,0.9984445740399613
401,db,78190243,2.773035182114443e-05,0.9984723043917825
402,ji,77899882,2.7627374616109534e-05,0.9984999317663985
403,kr,76743394,2.7217223452914765e-05,0.9985271489898515
404,xo,76097183,2.6988043216440842e-05,0.998554137033068
405,cm,75144874,2.665030461122328e-05,0.9985807873376791
406,zz,75012595,2.6603391555734385e-05,0.9986073907292349
407,nx,73899576,2.6208656774648996e-05,0.9986335993860095
408,yg,73102462,2.5925958437702277e-05,0.9986595253444472
409,xy,72645837,2.5764015317761724e-05,0.998685289359765
410,kg,72267691,2.5629904957985015e-05,0.998710919264723
411,tb,71746167,2.544494525651471e-05,0.9987363642099795
412,dc,71030077,2.5190982269910315e-05,0.9987615551922494
413,bd,69761165,2.474095967322812e-05,0.9987862961519226
414,sg,69588685,2.4679789239442523e-05,0.9988109759411621
415,wy,68368953,2.4247208444323264e-05,0.9988352231496064
416,zy,66473188,2.3574870970960865e-05,0.9988587980205773
417,aq,63283982,2.2443811633926902e-05,0.9988812418322113
418,hf,63249924,2.2431732884890087e-05,0.9989036735650961
419,cd,62905910,2.230972751842257e-05,0.9989259832926146
420,vu,62384927,2.2124959683862503e-05,0.9989481082522984
421,kw,61416538,2.1781518269187193e-05,0.9989698897705677
422,zu,60692846,2.152485921557423e-05,0.9989914146297832
423,bn,59062122,2.094651915026475e-05,0.9990123611489334
424,ih,58966344,2.0912551259453547e-05,0.9990332737001929
425,tg,55522877,1.969131766647826e-05,0.9990529650178595
426,xv,55076715,1.9533085273860866e-05,0.9990724981031333
427,uz,53873803,1.9106469730923158e-05,0.9990916045728642
428,bc,53278096,1.8895200855696378e-05,0.9991104997737199
429,xf,52374239,1.8574645865145906e-05,0.999129074419585
430,yz,51097953,1.8122008062186258e-05,0.9991471964276473
431,km,50449220,1.789193339253743e-05,0.9991650883610398
432,dp,48855638,1.7326765824048826e-05,0.9991824151268638
433,lh,45643026,1.6187405494591476e-05,0.9991986025323584
434,wf,45330551,1.6076585507942857e-05,0.9992146791178663
435,kf,44759608,1.5874099243002875e-05,0.9992305532171093
436,pf,41022263,1.4548641132749975e-05,0.9992451018582421
437,cf,39704311,1.4081226385830964e-05,0.9992591830846279
438,mt,38538709,1.3667842921305478e-05,0.9992728509275492
439,yu,37436235,1.3276847949034266e-05,0.9992861277754983
440,cp,37067423,1.3146047914100753e-05,0.9992992738234123
441,pb,36901495,1.3087201162377793e-05,0.9993123610245748
442,td,36539510,1.2958822338897517e-05,0.9993253198469136
443,zl,35456851,1.2574854802534591e-05,0.9993378947017162
444,sv,35005005,1.2414606566076536e-05,0.9993503093082823
445,hc,34631551,1.228216023502966e-05,0.9993625914685172
446,mg,34537023,1.2248635659630283e-05,0.9993748401041769
447,pw,34037460,1.2071464477967291e-05,0.9993869115686549
448,gf,33962536,1.2044892506834687e-05,0.9993989564611617
449,pd,33798376,1.1986672780430216e-05,0.9994109431339422
450,pn,33536129,1.1893666270985813e-05,0.9994228368002132
451,pc,33156666,1.17590888340912e-05,0.9994345958890473
452,rx,32990613,1.1700197750827059e-05,0.999446296086798
453,tv,32805751,1.1634636011898067e-05,0.99945793072281
454,ij,31324465,1.1109294481398722e-05,0.9994690400172913
455,wm,30732232,1.0899257668364493e-05,0.9994799392749597
456,uh,30097154,1.067402577627447e-05,0.999490613300736
457,wk,30095733,1.0673521815314304e-05,0.9995012868225512
458,wb,29929113,1.0614429644179357e-05,0.9995119012521955
459,bh,29797934,1.056790670625287e-05,0.9995224691589017
460,oq,29227658,1.0365656994416639e-05,0.9995328348158962
461,kt,29132180,1.0331795499304272e-05,0.9995431666113954
462,rq,28152573,9.984375594797058e-06,0.9995531509869903
463,kb,25406204,9.010369431385025e-06,0.9995621613564216
464,cg,24975673,8.85768060932945e-06,0.9995710190370309
465,vr,24701238,8.760351597293566e-06,0.9995797793886283
466,cn,24249641,8.600191669265546e-06,0.9995883795802976
467,pk,23099462,8.192278007617351e-06,0.9995965718583051
468,uu,22006895,7.804796575974118e-06,0.9996043766548811
469,yf,21246637,7.5351693052820495e-06,0.9996119118241864
470,wp,20982546,7.441508816942119e-06,0.9996193533330033
471,cz,20601701,7.30644125052819e-06,0.9996266597742539
472,kp,20492678,7.267775989613261e-06,0.9996339275502435
473,dq,19927900,7.067476156284412e-06,0.9996409950263998
474,wu,19601657,6.951773316363763e-06,0.9996479467997161
475,fm,19340776,6.8592512620014045e-06,0.9996548060509781
476,wc,19008254,6.741321560104064e-06,0.9996615473725382
477,md,18929019,6.713220682779148e-06,0.999668260593221
478,kd,18894758,6.701069939319453e-06,0.9996749616631603
479,zh,18782710,6.661331855107903e-06,0.9996816229950154
480,gw,18260884,6.476265048634101e-06,0.9996880992600641
481,rz,17993128,6.381304759506693e-06,0.9996944805648236
