# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
welcome,9140,4499,True
sometimes,9129,4393,True
trust,9087,4242,True
free,9054,4278,True
book,9026,3244,True
answer,8986,4344,True
between,8932,4654,True
children,8930,3276,True
war,8912,2546,True
fact,8801,4369,True
brought,8786,4666,True
bet,8763,3981,True
clear,8763,4184,True
its,8757,3818,True
white,8744,3355,True
glad,8740,4312,True
daughter,8739,2993,True
outside,8671,4429,True
city,8624,3321,True
feeling,8577,4344,True
black,8565,3190,True
seems,8545,4557,True
full,8512,4326,True
till,8503,4158,True
sick,8437,3867,True
light,8425,3924,True
shoot,8412,3264,True
news,8399,3976,True
lose,8382,4251,True
wonderful,8364,3362,True
months,8314,4025,True
save,8278,4028,True
hour,8277,4343,True
country,8254,3298,True
needs,8198,4390,True
able,8155,4285,True
perfect,8091,3915,True
running,8054,4268,True
child,8040,3067,True
died,8018,3730,True
order,7985,3825,True
living,7983,4108,True
sounds,7970,4362,True
alive,7878,3735,True
food,7876,3605,True
gentlemen,7874,2943,True
luck,7840,3874,True
hair,7831,3632,True
drive,7810,3714,True
promise,7809,3874,True
sex,7761,2490,True
music,7734,2699,True
ya,7664,2131,True
power,7600,2980,True
sort,7584,3753,True
special,7577,3885,True
serious,7566,4006,True
street,7557,3411,True
red,7551,3042,True
dance,7550,2465,True
hang,7535,3879,True
touch,7534,4000,True
team,7528,2623,True
playing,7515,3707,True
company,7507,3283,True
pull,7469,3679,True
plan,7432,3528,True
sweet,7405,3578,True
ten,7395,3273,True
coffee,7371,3039,True
lucky,7316,3874,True
sound,7313,4069,True
safe,7303,3522,True
date,7218,2987,True
leaving,7211,3962,True
parents,7177,2902,True
himself,7168,3749,True
seem,7131,4104,True
lives,7124,4028,True
air,7090,3325,True
taken,7071,4027,True
picture,7061,3178,True
ladies,7054,3101,True
sent,7038,3760,True
fast,7010,3808,True
happens,6996,4060,True
catch,6911,3765,True
ride,6904,3116,True
win,6867,2788,True
kidding,6822,3698,True
top,6805,3606,True
scared,6803,3316,True
dream,6798,2809,True
sign,6797,3519,True
meeting,6752,3307,True
sense,6722,3839,True
beat,6716,3192,True
control,6662,3263,True
drop,6661,3548,True
cold,6638,3509,True
weeks,6637,3474,True
darling,6613,1907,True
figure,6598,3693,True
king,6592,1688,True
poor,6583,3224,True
throw,6570,3674,True
asking,6546,3849,True
write,6467,2942,True
suppose,6416,2854,True
small,6373,3533,True
human,6363,2931,True
piece,6349,3510,True
boss,6339,2333,True
hospital,6334,2611,True
past,6312,3633,True
calling,6311,3660,True
known,6300,3732,True
follow,6283,3431,True
movie,6271,2101,True
ha,6260,1109,True
straight,6244,3590,True
words,6223,3315,True
clean,6183,3455,True
kiss,6179,2739,True
looked,6166,3650,True
feet,6157,3256,True
evening,6155,2803,True
million,6145,2528,True
lie,6133,3353,True
felt,6111,3349,True
moving,6104,3320,True
certainly,6067,3021,True
step,6052,3343,True
learn,6047,3414,True
fall,6044,3322,True
questions,6016,3169,True
finally,5989,3591,True
takes,5986,3622,True
class,5985,2445,True
quiet,5978,3135,True
wonder,5966,3567,True
law,5932,2517,True
become,5894,3286,True
worked,5877,3544,True
rather,5825,3305,True
possible,5816,3373,True
unless,5798,3653,True
mad,5784,2965,True
absolutely,5769,3291,True
tired,5745,3148,True
murder,5717,2046,True
road,5709,2766,True
eye,5701,3216,True
except,5696,3610,True
somewhere,5688,3528,True
explain,5670,3386,True
less,5666,3527,True
none,5641,3522,True
loved,5627,2957,True
giving,5613,3561,True
seeing,5591,3430,True
secret,5585,2847,True
wear,5576,3127,True
worth,5569,3301,True
act,5565,3086,True
careful,5550,3256,True
quick,5542,3097,True
handle,5529,3272,True
pass,5514,3148,True
early,5510,3284,True
report,5508,2621,True
state,5500,2669,True
busy,5433,3206,True
turned,5388,3459,True
table,5387,2889,True
wake,5366,2929,True
works,5357,3406,True
broke,5355,3149,True
ball,5353,2070,True
seven,5327,2780,True
mouth,5325,3022,True
marry,5322,2046,True
meant,5316,3348,True
fault,5310,3101,True
lunch,5310,2637,True
expect,5299,3306,True
future,5278,2631,True
paper,5271,2626,True
officer,5265,2026,True
hotel,5264,2021,True
buddy,5247,2321,True
thinks,5235,3274,True
talked,5226,3187,True
blue,5222,2487,True
mistake,5200,3121,True
ones,5177,3185,True
wedding,5173,1654,True
clothes,5158,2790,True
weird,5156,2597,True
changed,5148,3188,True
court,5137,1839,True
floor,5132,2732,True
watching,5081,3138,True
building,5078,2411,True
earth,5074,2339,True
dude,5071,1581,True
others,5061,2916,True
longer,5046,3279,True
finish,5045,3124,True
forgot,5045,3217,True
ship,5043,1163,True
club,5038,2156,True
attention,5032,3000,True
eight,5010,2682,True
worse,5002,3252,True
pain,4995,2568,True
th,4989,2289,True
sing,4977,1746,True
blow,4976,2826,True
choice,4975,3095,True
ls,4967,1122,True
birthday,4958,1672,True
stick,4953,2995,True
relax,4936,2807,True
yesterday,4935,3020,True
honor,4912,1887,True
smart,4909,2793,True
boat,4885,1457,True
plane,4872,1691,True
month,4854,2895,True
lovely,4853,2473,True
given,4851,3071,True
train,4848,1760,True
fair,4832,2810,True
worried,4831,3061,True
needed,4818,3101,True
sitting,4814,3005,True
security,4810,2046,True
cover,4808,2782,True
across,4801,2892,True
bag,4796,2508,True
terrible,4795,2810,True
caught,4791,3063,True
song,4778,1946,True
spend,4757,3031,True
horse,4737,1577,True
ring,4730,2075,True
sell,4705,2441,True
return,4676,2611,True
personal,4675,2828,True
message,4667,2424,True
system,4667,2240,True
afternoon,4666,2597,True
happening,4618,2792,True
tough,4616,2746,True
quit,4595,2408,True
count,4588,2655,True
box,4577,2353,True
missed,4568,2924,True
present,4562,2622,True
charge,4559,2675,True
kept,4559,3028,True
information,4557,2373,True
fool,4556,2370,True
simple,4555,2861,True
middle,4549,2957,True
calm,4541,2466,True
surprise,4534,2738,True
forever,4529,2737,True
decided,4521,2942,True
dark,4519,2629,True
anywhere,4501,3133,True
miles,4500,2064,True
swear,4496,2581,True
land,4494,2074,True
missing,4484,2626,True
cute,4475,2459,True
lying,4472,2733,True
master,4450,1322,True
dress,4447,2186,True
key,4430,2165,True
strong,4430,2684,True
fix,4426,2576,True
interesting,4421,2753,True
wearing,4410,2790,True
strange,4408,2531,True
rock,4394,1905,True
voice,4394,2396,True
cop,4393,1467,True
window,4386,2442,True
bar,4385,2220,True
totally,4377,2286,True
interested,4374,2669,True
appreciate,4373,2885,True
army,4370,1506,True
paid,4369,2639,True
short,4367,2823,True
record,4365,2395,True
bought,4362,2687,True
card,4357,2107,True
certain,4354,2654,True
y,4345,1302,True
college,4344,1921,True
evidence,4335,1755,True
fly,4335,2117,True
bank,4334,1590,True
completely,4303,2679,True
ran,4296,2870,True
cops,4290,1694,True
test,4288,2095,True
history,4280,2416,True
finished,4269,2777,True
born,4268,2565,True
proud,4265,2621,True
fish,4258,1708,True
join,4255,2707,True
lead,4246,2517,True
smell,4240,2396,True
near,4238,2814,True
apartment,4235,1774,True
enjoy,4222,2769,True
letter,4213,1758,True
situation,4207,2505,True
trip,4202,2366,True
store,4178,2145,True
amazing,4167,2369,True
star,4149,1821,True
accident,4146,2180,True
imagine,4133,2727,True
ought,4118,2110,True
pleasure,4118,2545,True
list,4110,2176,True
rich,4100,2104,True
calls,4097,2636,True
service,4076,2407,True
entire,4070,2627,True
difference,4066,2593,True
judge,4063,1621,True
ice,4057,1974,True
lawyer,4055,1686,True
fat,4051,2046,True
instead,4043,2822,True
age,4039,2499,True
station,4033,2099,True
realize,4032,2604,True
gold,4026,1533,True
seat,4018,2443,True
liked,4017,2522,True
hundred,4015,2138,True
summer,4012,1629,True
dollars,3998,1782,True
standing,3994,2702,True
mess,3985,2614,True
killing,3965,2381,True
radio,3936,1624,True
hungry,3931,2441,True
problems,3931,2427,True
marriage,3930,1747,True
brain,3928,1994,True
soul,3925,2041,True
forgive,3917,2209,True
drunk,3904,2016,True
deep,3896,2454,True
figured,3893,2533,True
likes,3889,2561,True
girlfriend,3881,1946,True
folks,3878,1954,True
slow,3877,2389,True
private,3874,2257,True
during,3872,2524,True
attack,3853,1957,True
beer,3850,1805,True
definitely,3848,2391,True
stopped,3844,2687,True
partner,3836,1772,True
walking,3826,2470,True
area,3821,2159,True
dangerous,3817,2386,True
offer,3810,2371,True
scene,3807,1771,True
third,3801,2351,True
upset,3800,2354,True
bus,3783,1546,True
owe,3782,2353,True
shoes,3782,2019,True
driving,3780,2264,True
group,3762,2097,True
ln,3753,1032,True
kick,3744,2163,True
evil,3731,1598,True
joke,3724,2158,True
fell,3723,2423,True
truck,3716,1555,True
teach,3715,2150,True
green,3696,1908,True
ground,3696,2265,True
loves,3695,2298,True
cash,3694,1919,True
forward,3689,2341,True
honest,3689,2331,True
boyfriend,3684,1829,True
park,3678,1875,True
position,3676,2191,True
single,3676,2377,True
respect,3644,2265,True
broken,3634,2409,True
crime,3633,1782,True
wrote,3629,2021,True
public,3625,2107,True
grab,3614,2392,True
art,3611,1601,True
fighting,3611,2056,True
favor,3609,2370,True
upstairs,3607,2155,True
wall,3605,2105,True
force,3604,1985,True
seconds,3603,2000,True
jail,3602,1705,True
push,3598,2103,True
prove,3590,2261,True
normal,3589,2134,True
machine,3583,1880,True
protect,3583,2161,True
field,3580,1919,True
spent,3574,2529,True
feels,3569,2468,True
speaking,3565,2326,True
named,3564,2359,True
jump,3561,1973,True
saved,3558,2339,True
starting,3558,2500,True
nose,3557,2125,True
hide,3554,2348,True
church,3553,1340,True
sun,3553,1957,True
peace,3550,1867,True
share,3545,2346,True
moved,3536,2394,True
picked,3534,2431,True
thousand,3534,1802,True
holding,3530,2442,True
fear,3523,1912,True
using,3520,2513,True
