bigram,bigram_rank,word_rank,word,word_count
ly,69,12,likely,120758940
nc,70,1,since,371590865
nc,70,2,once,267334111
nc,70,3,experience,182659383
nc,70,4,evidence,158753663
nc,70,5,french,154091688
nc,70,6,including,153800374
nc,70,7,function,147417217
nc,70,8,increase,146162071
nc,70,9,science,141250014
nc,70,10,influence,139632645
nc,70,11,increased,122496287
nc,70,12,income,118647362
et,71,1,between,744064796
et,71,2,get,318321184
et,71,3,set,302361340
et,71,4,yet,298106656
et,71,5,et,249406150
et,71,6,whether,245964864
et,71,7,let,231529250
et,71,8,society,226962849
et,71,9,better,225159108
et,71,10,something,223298632
et,71,11,together,202762516
et,71,12,sometimes,165282667
ut,72,1,but,2792350185
ut,72,2,about,1070877995
ut,72,3,out,1048211344
ut,72,4,without,465581954
ut,72,5,put,234694082
ut,72,6,south,194907298
ut,72,7,future,151100623
ut,72,8,truth,118722538
ut,72,9,outside,118074170
ut,72,10,authority,116697449
ut,72,11,solution,106000254
ut,72,12,cut,103037571
ss,73,1,less,337388744
ss,73,2,possible,272346265
ss,73,3,process,261231720
ss,73,4,business,228894757
ss,73,5,press,211628967
ss,73,6,necessary,208018922
ss,73,7,class,193633305
ss,73,8,across,125969728
ss,73,9,pressure,124800018
ss,73,10,loss,109639032
ss,73,11,passed,107205319
ss,73,12,association,103663697
so,74,1,so,1449153410
so,74,2,some,1182318418
so,74,3,also,1038616504
so,74,4,social,362939226
so,74,5,person,232353232
so,74,6,society,226962849
so,74,7,something,223298632
so,74,8,south,194907298
so,74,9,reason,174823900
so,74,10,sometimes,165282667
so,74,11,soon,160678206
so,74,12,personal,146111561
rs,75,1,first,923189150
rs,75,2,years,563247544
rs,75,3,others,280160469
rs,75,4,university,267605414
rs,75,5,course,267248526
rs,75,6,person,232353232
rs,75,7,members,190942415
rs,75,8,personal,146111561
rs,75,9,hours,119182573
rs,75,10,persons,116745553
rs,75,11,understand,111365730
rs,75,12,workers,107751613
un,76,1,under,585610545
un,76,2,found,436617767
un,76,3,country,287858905
un,76,4,united,275947752
un,76,5,university,267605414
un,76,6,until,266946065
un,76,7,young,233692423
un,76,8,around,225965973
un,76,9,account,162780963
un,76,10,community,162100278
un,76,11,amount,147854681
un,76,12,function,147417217
lo,77,1,long,477333877
lo,77,2,development,292567752
lo,77,3,following,282890287
lo,77,4,love,210137973
lo,77,5,look,197095972
lo,77,6,london,192383215
lo,77,7,local,188970118
lo,77,8,along,186532177
lo,77,9,low,178926877
lo,77,10,lord,169071283
lo,77,11,lower,145218962
lo,77,12,close,144027294
wa,78,1,was,5502713968
wa,78,2,way,559785767
wa,78,3,water,355340324
wa,78,4,war,335494566
wa,78,5,always,289326176
wa,78,6,away,243726011
wa,78,7,want,207691335
wa,78,8,toward,140324365
wa,78,9,ways,113283389
wa,78,10,towards,111513874
wa,78,11,wanted,107546531
wa,78,12,washington,98704427
ge,79,1,general,450612588
ge,79,2,large,342399659
ge,79,3,get,318321184
ge,79,4,change,252169887
ge,79,5,age,208047899
ge,79,6,together,202762516
ge,79,7,knowledge,185412728
ge,79,8,language,180585791
ge,79,9,changes,160538481
ge,79,10,management,140362524
